project_name,url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,domainant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,owner_login,company_name,owner_company,license,names,TypeScript,JavaScript,CSS,Inno Setup,HTML,Shell,Batchfile,SCSS,PowerShell,Groovy,C++,Python,Makefile,Perl,Ruby,Objective-C++,Objective-C,Clojure,Handlebars,Less,PHP,Julia,Visual Basic .NET,C,Pug,Go,F#,Java,CoffeeScript,Rust,C#,Dockerfile,R,Roff,ShaderLab,Swift,Lua,HLSL,Hack,CMake,LLVM,Emacs Lisp,Vim script,DTrace,D,sed,Kotlin,Smarty,Mustache,Vim Snippet,Vue,NASL,Cuda,Assembly,Starlark,PureBasic,Metal,GLSL,Yacc,Standard ML,Scala,HiveQL,PLpgSQL,q,ANTLR,Jupyter Notebook,Thrift,ReScript,XSLT,OCaml,Liquid,HCL,SWIG,MATLAB,Awk,Rich Text Format,PostScript,VBScript,ActionScript,DIGITAL Command Language,Prolog,FreeMarker,Gherkin,Sass,NSIS,EJS,GDB,Puppet,SMT,AL,M4,OpenEdge ABL,GAP,Brainfuck,Erlang,Haml,TSQL,Stylus,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
vscode,https://github.com/Microsoft/vscode,28947324,t,t,t,80406,55145,4210.0,1164007.0,5232,2015-09-03 20:23:38,2015-11-13 12:39:38,2019-05-31 22:11:06,831,1099,microsoft.com,43230,45274,54,323,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,MIT,"['editor', 'electron', 'visual-studio-code', 'typescript', 'microsoft']",33204570.0,1210740.0,549873.0,277637.0,160965.0,33728.0,8271.0,6732.0,6519.0,3928.0,3251.0,2405.0,2162.0,1922.0,1703.0,1387.0,1387.0,1206.0,1064.0,1029.0,998.0,940.0,893.0,818.0,654.0,652.0,634.0,599.0,590.0,532.0,488.0,425.0,362.0,351.0,330.0,284.0,252.0,184.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,316,327,382,403,274,311,373,208,253,287,336,320,326,236,222,245,259,173,201,227,190,241,258,296,279,192,212,184,160,243,272,281,323,257,292,220,247,406,139,66,290,322,329,249,378,392,404,328,363,265,90
swift,https://github.com/apple/swift,29261651,t,f,f,51911,85545,,,24225,2015-10-23 21:15:07,2010-07-17 23:50:59,2019-05-31 23:32:06,805,912,apple.com,27079,34637,80,276,320193.0,t,t,f,Apple,APPLE INC,,Apache-2.0,[],,,,,,198065.0,15028.0,,,,41491436.0,1810752.0,1841.0,,2132.0,213072.0,460309.0,,,,,,,322731.0,,,,,,,,,,3495.0,,35799884.0,,,,579310.0,72347.0,57718.0,20118.0,2593.0,1107.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,134,228,195,192,183,171,189,165,194,134,186,140,128,174,138,150,170,165,166,166,128,161,158,145,96,189,134,165,141,156,149,147,169,164,26,144,147,115,70,38,129,173,144,175,191,219,138,192,180,113,16
TypeScript,https://github.com/Microsoft/TypeScript,10941284,t,t,t,51745,41276,53969.0,4923142.0,9175,2014-06-17 15:28:39,2014-07-07 22:08:16,2019-05-31 23:19:27,459,544,microsoft.com,18443,21455,29,121,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,Apache-2.0,"['typescript', 'javascript', 'language', 'typechecker']",105209348.0,175.0,,,,47.0,,,2855.0,,,,,,,,,,,,,,,,,,,,,,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,55,41,24,51,27,49,40,40,44,30,20,42,34,33,53,27,17,21,27,15,38,24,28,43,34,44,33,51,21,29,43,37,24,14,21,35,26,29,10,11,31,26,20,22,27,22,29,26,36,32,5
spring-boot,https://github.com/spring-projects/spring-boot,4952344,t,f,f,39634,22099,6242.0,574034.0,3365,2012-10-19 15:02:57,2013-07-24 10:28:30,2019-05-31 22:17:55,278,741,pivotal.io,19061,17226,21,615,1574135.0,f,t,f,spring-projects,,,Apache-2.0,"['java', 'spring-boot', 'spring', 'framework']",,37722.0,450.0,,70165.0,43188.0,2141.0,,,26659.0,,,,,7877.0,,,,,,,,,,,,,19527018.0,,,,2558.0,,,,,,,,,,,,,,,62780.0,2882.0,449.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,109,71,62,84,173,56,89,20,26,72,153,80,64,38,41,51,146,59,111,98,38,56,21,62,148,47,51,35,82,65,172,43,64,21,9,28,154,44,28,4,36,115,95,30,28,98,101,46,34,36,83
element,https://github.com/ElemeFE/element,44989079,f,f,t,39620,5317,1069.0,177763.0,3662,2016-09-03 06:19:26,2016-07-27 06:15:02,2019-05-31 09:06:40,209,570,ele.me,53,63,6,8,,,,,ElemeFE,,,MIT,"['vue', 'components', 'javascript', 'vue-components', 'ui-kit', 'element-ui', 'vuejs']",,520947.0,,,,3901.0,,273118.0,,,,,1222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,5,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,10,0,0,0,0,1,0,4,1,4,1,1,4,0,0,4,0,0,0
Terminal,https://github.com/Microsoft/Terminal,134861790,t,t,t,37759,512,1732.0,236460.0,172,2017-08-11 18:38:22,2018-10-08 16:09:01,2019-05-31 21:43:51,54,101,microsoft.com,249,236,8,76,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,MIT,"['console', 'terminal', 'cmd', 'wsl', 'windows-console', 'command-line', 'windows-terminal']",,894.0,,,552.0,,25991.0,,83890.0,,15159833.0,7996.0,,,,,75.0,,,,30107.0,,,160641.0,,,,,,,430253.0,,,7142.0,,,,,,,,,,,,,,,,,,1472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,23,24,22,28,27,26,19,11,15,36,23,20,15,11,22,32,4,9,17,21,23,16,8,12,11,8,8,12,25,15,25,21,19,17,5,26,17,24,1,1,16,19,25,14,26,27,28,17,6,17,5
awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,14451906,t,f,f,36222,416,396.0,712.0,168,2014-12-24 01:45:03,2014-12-24 00:45:03,2018-09-19 09:45:33,48,54,cyberagent.co.jp,25,25,3,3,,,,,wasabeef,,"CyberAgent, Inc.",,"['android', 'awesome', 'ui']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,1,19,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
brackets,https://github.com/adobe/brackets,392,t,f,f,35448,22312,2254.0,590854.0,5459,2011-12-07 21:14:40,2011-12-07 21:20:16,2019-05-21 09:52:33,462,503,adobe.com,5624,5721,29,39,796343.0,f,t,f,adobe,ADOBE INC.,,MIT,[],,13258040.0,187807.0,,2065660.0,12541.0,2667.0,5072.0,,,,,2186.0,,9040.0,,,28.0,872.0,218278.0,27024.0,,,,,,,,,,,,,,,,,,2646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
android-architecture,https://github.com/googlesamples/android-architecture,34222729,t,f,f,33717,788,,,277,2016-02-05 13:42:07,2016-03-02 22:05:02,2019-03-24 10:14:57,62,79,google.com,385,513,6,15,1652044.0,f,t,f,googlesamples,Alphabet Inc.,,Apache-2.0,"['android-architecture', 'android', 'samples']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,https://github.com/google/guava,13066443,t,f,f,33393,6667,3241.0,1026892.0,441,2014-05-29 16:23:17,2009-06-18 18:11:55,2019-05-28 15:17:22,69,367,google.com,3749,3773,12,234,1652044.0,f,t,f,google,Alphabet Inc.,,Apache-2.0,"['guava', 'java']",,527.0,11478.0,,,1380.0,,,,,,,,,,,,,,,,,,,,,,25037145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,10,5,5,2,3,6,0,1,6,7,7,4,2,6,3,4,0,4,4,4,2,2,2,10,3,9,6,13,1,4,6,19,1,3,6,3,6,2,3,1,0,2,2,1,2,2,6,4,3,1
